D1S1656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allele,Entire Database,Africa,America,Asia,Europe,AUSTRIA,BELGIUM,BOSNIA AND HERZEGOWINA,CROATIA,CZECH REPUBLIC,DENMARK,DOMINICAN REPUBLIC,FINLAND,FRANCE,GERMANY,GREECE,HUNGARY,IRELAND,ITALY,KENYA,MONTENEGRO,NETHERLANDS,NORWAY,POLAND,SAUDI ARABIA,SLOVAKIA,SLOVENIA,SOUTH AFRICA,SPAIN,SWEDEN,SWITZERLAND,THAILAND,VIETNAM
Allele,Entire Database,Africa,America,Asia,Europe,AUSTRIA,BELGIUM,BOSNIA AND HERZEGOWINA,CROATIA,CZECH REPUBLIC,DENMARK,DOMINICAN REPUBLIC,FINLAND,FRANCE,GERMANY,GREECE,HUNGARY,IRELAND,ITALY,KENYA,MONTENEGRO,NETHERLANDS,NORWAY,POLAND,SAUDI ARABIA,SLOVAKIA,SLOVENIA,SOUTH AFRICA,SPAIN,SWEDEN,SWITZERLAND,THAILAND,VIETNAM
,17479,1243,1000,4523,10713,222,206,171,500,200,200,1000,230,208,785,208,224,304,929,510,200,2084,202,206,523,247,907,733,455,425,1600,3000,1000
8,"0,000600721",,,"0,000221092","0,000886773",,,,"0,001",,,,"0,00217391",,"0,00254777","0,00240385",,,"0,000538213",,,"0,000479846","0,00247525",,,,"0,00110254",,"0,0010989","0,00352941","0,000625","0,000333333",
"8,1","0,0000286058",,,"0,000110546",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,0005"
9,"0,00168774","0,000804505","0,002","0,00254256","0,00140017",,"0,00242718","0,00292398","0,001","0,0025","0,0025","0,002","0,00217391","0,00240385","0,000636943",,,"0,00328947","0,00484392","0,00196078","0,0025","0,000239923",,"0,00242718","0,0105163",,"0,000551268",,"0,0021978",,"0,0015625","0,00133333","0,002"
"9,1","0,00246009","0,000804505","0,0005","0,00917533",,,,,,,,"0,0005",,,,,,,,,,,,,,,,"0,00136426",,,,"0,00966667","0,0125"
10,"0,184021","0,104988","0,149","0,207937","0,186362","0,162162","0,177184","0,210526","0,204","0,15","0,1875","0,149","0,21087","0,230769","0,191083","0,134615","0,227679","0,226974","0,160388","0,0460784","0,1625","0,18882","0,205446","0,201456","0,124283","0,180162","0,206725","0,145975","0,154945","0,187059","0,1775","0,213833","0,234"
"10,1","0,000228846",,,"0,000884369",,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,001","0,001"
"10,3","0,0000858173","0,000402253",,,"0,0000933445",,,,,,,,,,,"0,00240385",,,,,,,,,,"0,00202429",,"0,000682128",,,,,
11,"0,329023","0,334272","0,3575","0,302786","0,336834","0,369369","0,354369","0,277778","0,278","0,3325","0,345","0,3575","0,358696","0,28125","0,363057","0,382212","0,276786","0,340461","0,34338","0,313725","0,3375","0,34309","0,361386","0,31068","0,357553","0,348178","0,307056","0,348568","0,298901","0,374118","0,351562","0,289167","0,315"
"11,1","0,0000858173","0,000804505",,"0,000110546",,,,,,,,,,,,,,,,"0,00196078",,,,,,,,,,,,"0,000166667",
"11,3","0,0789519","0,0450523","0,0475","0,141499","0,0594138","0,0540541","0,0485437","0,0672515","0,062","0,06","0,0475","0,0475","0,0804348","0,0697115","0,0420382","0,0697115","0,0446429","0,0526316","0,0866523","0,0441176","0,0525","0,0424664","0,039604","0,0679612","0,0774379","0,0607287","0,0633958","0,0457026","0,107692","0,0505882","0,0621875","0,163667","0,1085"
12,"0,0752903","0,125905","0,109","0,135198","0,0409783","0,0382883","0,0533981","0,0438596","0,036","0,0275","0,035","0,109","0,0217391","0,0264423","0,0414013","0,0504808","0,0290179","0,0328947","0,0446717","0,15","0,0325","0,0475048","0,0445545","0,026699","0,0803059","0,0323887","0,0457552","0,109141","0,0395604","0,0376471","0,0415625","0,132667","0,1715"
"12,3","0,00260312","0,0100563","0,004","0,00265311","0,00158686",,"0,00242718","0,00292398","0,001",,,"0,004",,,"0,00254777",,"0,00223214",,"0,000538213","0,00392157","0,0025","0,00167946",,"0,00485437",,"0,00404858","0,0016538","0,0143247","0,00549451","0,00117647","0,00125","0,003","0,003"
13,"0,0263459","0,0374095","0,0355","0,0151448","0,0289368","0,027027","0,0315534","0,0233918","0,024","0,0225","0,04","0,0355","0,0456522","0,0504808","0,0254777","0,0336538","0,0200893","0,0361842","0,0263724","0,0441176","0,0275","0,0256718","0,039604","0,0364078","0,00956023","0,0283401","0,0292172","0,0327422","0,0395604","0,0282353","0,026875","0,018","0,0095"
"13,3","0,000657932","0,00281577","0,0025","0,000331638","0,000373378",,,,"0,001",,,"0,0025",,,,,,,,,,"0,000479846",,"0,0121359","0,000956023",,,"0,0047749",,,,"0,000166667","0,0005"
14,"0,257223","0,279163","0,2555","0,163608","0,294362","0,29955","0,281553","0,315789","0,338","0,3475","0,3","0,2555","0,256522","0,298077","0,284076","0,276442","0,339286","0,248355","0,288482","0,32549","0,3325","0,293666","0,274752","0,286408","0,300191","0,301619","0,306505","0,24693","0,303297","0,271765","0,285313","0,151","0,13"
"14,1","0,0000572115",,,"0,000110546","0,0000466723",,,,,,,,,,,,,,,,,"0,000239923",,,,,,,,,,,"0,0005"
"14,3","0,000143029","0,00160901",,,"0,0000466723",,,,,,,,,,"0,000636943",,,,,"0,000980392",,,,,,,,"0,00204638",,,,,
15,"0,0369872","0,0514883","0,033","0,0160292","0,0445253","0,0472973","0,0461165","0,0526316","0,05","0,0525","0,0425","0,033","0,0217391","0,0336538","0,044586","0,0384615","0,0602679","0,0559211","0,0425188","0,0607843","0,0425","0,0496641","0,029703","0,0485437","0,0334608","0,0384615","0,0347299","0,0450205","0,0406593","0,0411765","0,04625","0,0148333","0,0105"
"15,3","0,0000286058",,,,"0,0000466723",,,,,,,,,"0,00240385",,,,,,,,,,,,,,,,,,,
16,"0,0034613","0,00442478","0,004","0,00165819","0,00406049","0,00225225","0,00242718","0,00292398","0,004","0,005",,"0,004",,"0,00480769","0,00191083","0,00961538",,"0,00328947","0,00161464","0,00686275","0,0075","0,00599808","0,00247525","0,00242718","0,00573614","0,00404858","0,00330761","0,00272851","0,00549451","0,00470588","0,0053125","0,00116667","0,001"
17,"0,0000286058",,,,"0,0000466723",,,,,,,,,,,,,,,,,,,,,,,,"0,0010989",,,,
D2S1360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allele,Entire Database,Europe,ITALY,SWITZERLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2125,2125,929,1196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,"0,000705882","0,000705882","0,000538213","0,00083612",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,"0,00588235","0,00588235","0,00592034","0,00585284",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,"0,0931765","0,0931765","0,0764263","0,106187",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
